NP_570602.2	A1BG
NP_665872.2	ANKS4B
NP_683691.1	SVIP
NP_667340.2	ALS2CL
NP_667341.1	NCR3
NP_001003693.1	LY6G6F
NP_079291.2	HSPA12A
NP_671512.1	SGMS1
NP_443099.1	NALCN
NP_671729.2	TMIE
NP_671730.1	WFDC11
NP_671731.1	WFDC9
NP_001380507.1	MRGPRX1
NP_060606.3	ASPM
NP_683692.2	BOD1L1
NP_795362.2	TAS2R39
NP_795363.1	TAS2R40
NP_795364.2	TAS2R41
NP_795365.2	TAS2R43
NP_795366.2	TAS2R31
NP_795367.2	TAS2R45
NP_795368.2	TAS2R46
NP_001091112.1	TAS2R30
NP_795369.1	TAS2R19
NP_795370.2	TAS2R20
NP_795371.2	TAS2R50
NP_690863.1	IL4I1
NP_001135389.1	SPATA31F1
NP_828847.1	CYP4X1
NP_001345618.1	TUBB8B
NP_001136254.1	MAGI3
NP_690851.2	PRSS33
NP_690865.1	PYDC1
NP_694542.1	FDCSP
NP_690866.1	TIPRL
NP_001231873.1	STEAP2
NP_055917.1	NPHP4
NP_777635.1	SEC14L3
NP_001342185.1	BRD3OS
NP_695006.1	BEST4
NP_703157.2	HS6ST3
NP_705691.1	MDGA1
NP_001373061.1	MAGEA2B
NP_849195.2	NPAS4
NP_705843.1	RGL4
NP_715638.1	NAP1L5
NP_722582.2	ADGRF1
NP_733843.1	PGBD2
NP_758958.3	DAOA
NP_001159349.1	ATP5MGL
NP_734467.1	SELENOH
NP_775494.1	SSX7
NP_742003.1	WFDC10B
NP_742150.1	IFNL2
NP_742151.2	IFNL3
NP_742152.1	IFNL1
NP_766627.1	AQP11
NP_001382181.1	OR51B5
NP_001005491.2	OR10AG1
NP_001005492.1	OR5J2
NP_001027004.1	RAB40AL
NP_758440.1	POC1B
NP_001369289.1	ZNF311
NP_001035892.1	C10orf53
NP_001091953.1	FUOM
NP_001310016.1	JAKMIP3
NP_775846.2	STK32C
NP_776170.2	BLOC1S2
NP_001127835.2	RBM20
NP_001342192.1	NUTM2E
NP_775847.2	MKX
NP_001001955.2	OR4C13
NP_001005270.3	OR4C12
NP_001243615.1	CSNK2A3
NP_001004760.3	OR51V1
NP_001193555.1	TRIM49B
NP_001032302.1	MAJIN
NP_872362.4	SLC25A45
NP_001365142.1	BCL9L
NP_859072.1	FOXR1
NP_001138490.1	CCDC153
NP_001002917.1	OR8D1
NP_001002918.1	OR8D2
NP_001005196.1	OR8B4
NP_001005284.2	OR9G4
NP_878907.1	P4HA3
NP_775853.2	PGM2L1
NP_001034637.2	KLHL35
NP_001025030.1	KCTD21
NP_001273535.1	CRACR2B
NP_001035928.3	TMEM80
NP_115627.6	CCDC88B
NP_776171.1	TTC9C
NP_001129978.2	SLC22A24
NP_775858.2	RCOR2
NP_776172.1	HARBI1
NP_775859.4	IGSF22
NP_997069.2	OR10A4
NP_940876.2	OLFML1
NP_001365538.2	OTOGL
NP_777601.3	CD163L1
NP_001004304.1	ZNF740
NP_835463.1	RASSF3
NP_775864.3	B4GALNT3
NP_001005493.1	OR6C6
NP_775866.2	ANKRD52
NP_775867.2	SLC39A5
NP_997227.1	SPRYD4
NP_942122.2	ADGRD1
NP_776254.3	MORN3
NP_776173.3	DPY19L2
NP_997228.1	CLEC9A
NP_777602.1	GAS2L3
NP_001094891.4	MYO1H
NP_001375232.1	HECTD4
NP_775869.4	KSR2
NP_789788.1	GATC
NP_001026918.2	REDIC1
NP_775872.1	GXYLT1
NP_872365.2	TMPRSS12
NP_115812.1	CHAMP1
NP_942146.2	SIAH3
NP_775876.1	KCNRG
NP_001337932.1	TMEM272
NP_861450.1	SLC46A3
NP_001093122.1	GPR137C
NP_001229936.1	PROX2
NP_777636.2	ZDHHC22
NP_998766.1	TMED8
NP_997000.2	SLC25A47
NP_001171668.1	TSSK4
NP_775878.2	FAM177A1
NP_001106197.1	CEP170B
NP_001354107.1	TEDC1
NP_995322.1	SLC24A5
NP_776175.2	PRTG
NP_001035826.1	REC114
NP_001291317.1	GOLGA6L2
NP_001005241.2	OR4N4
NP_001335628.1	SAXO2
NP_775882.2	FAM98B
NP_828848.3	PLA2G4D
NP_001001413.3	GOLGA6L1
NP_001337848.1	GOLGA8G
NP_001354736.1	FBXL22
NP_775885.1	NOMO2
NP_001129977.1	TERB1
NP_001351711.1	CES4A
NP_848611.2	EXOC3L1
NP_001092926.2	NPW
NP_872369.2	BRICD5
NP_001035830.1	PGP
NP_001383385.1	GREP1
NP_787096.2	C16orf54
NP_775889.1	INO80E
NP_001099133.1	NUDT7
NP_001129981.1	ZNF843
NP_001288088.1	NHLRC4
NP_001258980.1	UQCC4
NP_001139808.1	TMEM114
NP_775890.2	CLEC18C
NP_835229.3	FADS6
NP_085133.1	HID1
NP_997229.2	TSEN54
NP_872371.1	UBALD2
NP_001382432.1	TMEM235
NP_001381598.1	CCDC57
NP_001317471.1	HEXD
NP_872372.1	VMO1
NP_001369288.1	C17orf58
NP_001078892.1	MILR1
NP_001345628.1	RNF227
NP_001191406.1	CDRT4
NP_056258.1	KANSL1
NP_001129955.1	CFAP97D1
NP_940877.2	FAM171A2
NP_001138552.2	MEIOC
NP_001124390.1	TTLL6
NP_835464.1	NEK8
NP_001333683.1	PIGW
NP_775896.3	C17orf78
NP_001129970.1	CISD3
NP_835465.2	GSDMA
NP_808218.1	SLC13A5
NP_848613.1	TMEM102
NP_036364.2	CAVIN1
NP_001159819.1	SLC26A11
NP_775898.2	ENDOV
NP_872375.2	GDPD1
NP_001079990.1	NDUFAF8
NP_001354221.1	LGALS9B
NP_001004431.1	METRNL
NP_005550.2	LAMA1
NP_001136202.1	KCTD1
NP_775900.2	DYNAP
NP_001244893.1	BOD1L2
NP_998767.1	SIGLEC15
NP_787103.1	PTGR3
NP_001032408.1	SMIM21
NP_001116838.1	HMSD
NP_001138422.1	SSC5D
NP_775902.2	ZNF547
NP_001010879.2	ZIK1
NP_775903.3	ZNF776
NP_872378.3	ZSCAN1
NP_001136050.1	ZNF780A
NP_940878.3	ACTMAP
NP_954979.2	PRR19
NP_775904.2	TMEM145
NP_940879.1	CXCL17
NP_777605.1	ZNF575
NP_001026919.2	LYPD5
NP_862828.1	ZNF283
NP_061994.1	PPP1R37
NP_940880.3	NKPD1
NP_001384275.1	TPRX1
NP_001124387.1	MAMSTR
NP_872381.2	IZUMO1
NP_996261.1	EMC10
NP_036447.1	KLK9
NP_001372394.1	SIGLECL1
NP_001186253.1	ZNF615
NP_001129971.1	ZNF841
NP_848620.3	ACTL9
NP_001004699.1	OR2Z1
NP_001354101.1	ZNF763
NP_001129973.1	ZNF844
NP_001020762.1	SCGB2B2
NP_001077430.1	WDR62
NP_597723.1	ZFP82
NP_940883.2	VSTM1
NP_001268940.1	TMEM150B
NP_001138874.1	GARIN5B
NP_001129975.1	SMIM24
NP_775908.2	SLC25A41
NP_001129979.1	MBD3L5
NP_001004466.1	OR10H5
NP_001007526.3	NWD1
NP_848621.2	SLC25A42
NP_001070146.1	ZNF493
NP_872383.1	CIMAP1D
NP_001340732.1	ZNF875
NP_877436.1	TAFA3
NP_001138428.1	RIIAD1
NP_872384.2	THEM5
NP_001010881.1	C1orf167
NP_001382865.1	OR2L13
NP_848622.2	SLC9C2
NP_001001966.1	OR14A16
NP_001010969.2	CYP4A22
NP_001129980.1	C1orf185
NP_001372337.1	NBPF15
NP_001010883.2	EEIG2
NP_001035799.1	SYPL2
NP_872386.1	CYB561D1
NP_001034977.1	ANKRD34A
NP_001229837.1	RSPO1
NP_001092909.1	EPHA10
NP_872387.2	SPATA46
NP_892021.1	ZNF326
NP_001363060.1	BTBD8
NP_775913.2	RIMKLA
NP_997231.1	SLC25A34
NP_001373939.1	C20orf204
NP_001116434.1	SIRPB2
NP_872390.2	C20orf203
NP_853631.1	KRTAP13-4
NP_777637.1	SEC14L4
NP_001381392.1	SH2D6
NP_001380584.1	NT5DC4
NP_001074008.1	CCDC150
NP_775918.2	RNF149
NP_001002919.2	ALKAL2
NP_775919.3	CCDC141
NP_001157033.1	STPG4
NP_776182.2	RTP5
NP_001369297.1	FAM240C
NP_775921.1	DNAJC5G
NP_001276959.1	ERICH2
NP_001034702.1	IAH1
NP_001308552.1	HYCC2
NP_001358915.1	UNC80
NP_940885.2	RUFY4
NP_872394.2	RGPD4
NP_001357394.1	DUSP28
NP_775924.1	SLC9A9
NP_001265618.1	EOGT
NP_001073917.2	EPHA6
NP_996985.2	FBXW12
NP_776185.2	C3orf38
NP_001243542.1	HTR3E
NP_001138565.1	ZNF619
NP_940886.1	ZNF621
NP_776186.2	RABL3
NP_001007535.1	PRR23E
NP_849144.2	IGSF10
NP_001295158.1	C3orf33
NP_001135419.1	CCDC66
NP_898884.1	SLC9C1
NP_776187.2	TCAIM
NP_775929.2	ZNF660
NP_877437.2	SUMF1
NP_775930.3	RPUSD3
NP_997234.3	PRRT3
NP_996662.1	DPH3
NP_001020437.1	C3orf70
NP_940887.1	TPRG1
NP_001350436.1	IQCM
NP_001025126.2	DCAF4L1
NP_997235.3	CYP4V2
NP_775931.3	DOK7
NP_001124506.1	RNF212
NP_938022.2	GPRIN3
NP_001284661.1	COX18
NP_872398.3	YIPF7
NP_055845.1	FRYL
NP_775933.2	RNF175
NP_001138663.1	FAM200B
NP_777612.1	STPG2
NP_001341364.1	C4orf54
NP_001164654.1	EFCAB9
NP_001017995.1	SH3PXD2B
NP_001400755.1	FAM153A
NP_775935.1	ARL10
NP_001139150.1	KIAA0825
NP_954713.1	GPR150
NP_775937.1	DTWD2
NP_776189.3	RELL2
NP_787117.3	RIMOC1
NP_861439.3	SLC36A3
NP_001092763.1	KIF4B
NP_996763.1	OR2V2
NP_001107033.1	RNF180
NP_776190.1	SREK1IP1
NP_001171560.1	ZNF454
NP_001353437.1	RGMB
NP_001258781.1	CEP57L1
NP_775943.1	PPIL6
NP_001353387.1	DCBLD1
NP_001164163.1	CAGE1
NP_787118.2	PRR18
NP_001361552.1	PNPLA1
NP_937796.1	TREML4
NP_001353410.1	RPL7L1
NP_872401.3	POM121L12
NP_001380592.1	CNPY1
NP_001365352.1	SPDYE1
NP_001350467.1	TCAF2
NP_775951.2	ZNF775
NP_001303985.1	ATG9B
NP_998768.2	ZNF789
NP_872403.1	LSMEM1
NP_775954.2	XKR6
NP_775956.1	NSMCE2
NP_001094068.1	ZNF707
NP_940890.4	FAM83H
NP_859074.1	MICU3
NP_776193.3	ZFP41
NP_776194.2	SCARA5
NP_001165268.1	TRIQK
NP_861452.2	DPY19L4
NP_001025031.2	FBXO43
NP_001291462.1	NKAIN3
NP_001351839.1	PPP1R42
NP_775960.4	CRB2
NP_001138349.1	SCAI
NP_001012520.2	CFAP157
NP_849150.3	SPATA31E1
NP_848631.2	LCN12
NP_899064.1	PAXX
NP_001121700.2	TPRN
NP_001004125.2	TUSC1
NP_203745.2	FAM78A
NP_981948.1	LURAP1L
NP_001001956.1	OR13C9
NP_001004484.2	OR13D1
NP_954586.4	FOXD4L3
NP_001340741.2	ATP11C
NP_001306896.1	NLRP2B
NP_001375393.1	H2BW2
NP_776195.2	YIPF6
NP_001291477.1	CFAP47
NP_001164580.1	FAM133A
NP_775970.2	MAGEB18
NP_919305.2	TMSB15B
NP_835230.1	P2RY8
NP_001186728.1	ILDR1
NP_758955.2	TRARG1
NP_001353174.1	LIN9
NP_775107.1	TRIM59
NP_775109.2	KRT6C
NP_689829.3	TRIM42
NP_001128123.1	EIF4E3
NP_775483.1	FAM149B1
NP_001124538.1	RFESD
NP_776255.2	VN1R2
NP_776256.2	VN1R4
NP_776257.1	VN1R5
NP_689680.2	KLHL10
NP_932349.2	DHRS4L2
NP_778146.2	POTED
NP_777638.3	C14orf39
NP_001138467.1	CCDC85C
NP_778235.1	H2AC21
NP_778236.2	DDX51
NP_001297064.2	TTC6
NP_778237.1	TAAR6
NP_778238.1	KRT73
NP_783318.1	ZAR1
NP_001006639.1	RAB37
NP_443077.1	MMAB
NP_783866.3	SERPINA9
NP_005158.5	PPM1J
NP_840101.1	SNAI3
NP_001005464.1	H3C15
NP_001137544.1	UBAC2
NP_787052.3	CHSY3
NP_853637.2	KRTAP7-1
NP_787053.1	KRTAP8-1
NP_787054.1	KRTAP11-1
NP_853638.1	KRTAP19-1
NP_853652.1	KRTAP13-2
NP_853653.1	KRTAP13-3
NP_853655.1	KRTAP23-1
NP_853633.1	KRTAP6-1
NP_853635.1	KRTAP6-2
NP_853636.3	KRTAP6-3
NP_853639.1	KRTAP19-2
NP_853640.1	KRTAP19-3
NP_853641.1	KRTAP19-4
NP_853642.1	KRTAP19-5
NP_853643.1	KRTAP19-6
NP_853645.1	KRTAP19-7
NP_853646.1	KRTAP20-1
NP_853647.1	KRTAP20-2
NP_853650.1	KRTAP21-1
NP_853648.1	KRTAP21-2
NP_853651.1	KRTAP22-1
NP_001121549.1	KRTAP20-3
NP_788954.2	FAM151A
NP_789790.2	NLRP9
NP_001378887.1	NLRP10
NP_789792.1	NLRP14
NP_789793.1	S100A7A
NP_835466.2	GPIHBP1
NP_525126.2	CLEC4D
NP_795372.1	IFNE
NP_001157994.1	RAB7B
NP_803186.1	TAS2R60
NP_001012302.2	ANO9
NP_808219.1	HCAR2
NP_001182684.1	FFAR4
NP_862823.1	KCNK18
NP_001004470.1	ST8SIA6
NP_001003892.1	DUSP29
NP_001009909.2	LUZP2
NP_940891.1	CENATAC
NP_001013765.2	TMEM225
NP_001005197.1	OR8D4
NP_001352006.1	VSIG10L2
NP_003688.1	OR5F1
NP_001002925.1	OR5AP2
NP_997237.2	ANKRD13D
NP_001287904.1	ANKRD42
NP_848632.2	B4GALNT4
NP_001005173.3	OR52L1
NP_001004490.1	OR2AG2
NP_001008224.1	C1QL4
NP_859075.2	TMEM119
NP_787028.1	KRT79
NP_848634.1	TAFA2
NP_848635.2	C1QTNF9
NP_001373135.2	RNASE10
NP_878314.1	VSX2
NP_001073931.1	TMEM202
NP_001034592.1	PRSS53
NP_940892.1	RAB43
NP_001005920.3	JMJD8
NP_940893.1	CIBAR2
NP_001307365.1	TMEM95
NP_859076.3	METTL2A
NP_001078899.2	C17orf67
NP_848638.3	ENPP7
NP_001034931.1	OXLD1
NP_954981.1	CCDC137
NP_001035114.2	ARL16
NP_001352848.1	MSL1
NP_001099051.1	LRRC30
NP_857637.1	CPLX4
NP_001025168.2	ZNF181
NP_001159509.1	ZNF260
NP_848639.2	ZNF546
NP_001012661.1	MYPOP
NP_001025032.1	NANOS2
NP_998769.2	ADAMTSL5
NP_940894.1	CLEC4G
NP_001004432.1	LINGO4
NP_871001.1	RXFP4
NP_940895.1	ANKRD45
NP_997239.2	C1orf174
NP_938073.1	KLHL17
NP_001108220.1	TMEM240
NP_848640.1	TMEM52
NP_950252.1	BRINP3
NP_848642.2	ZBTB8OS
NP_848643.2	TFAP2E
NP_001354838.1	ZNF678
NP_898885.1	PRSS38
NP_001380994.1	CCDC190
NP_001139108.1	ARMH1
NP_001307108.1	ZFP69
NP_001001479.1	SLC35E4
NP_001157329.1	CIMIP4
NP_001382869.1	SMIM45
NP_001001664.1	SPOPL
NP_001354431.1	CYP27C1
NP_001381568.1	MROH2A
NP_919288.2	ESPNL
NP_001098989.1	CIMIP2C
NP_848648.2	PRR30
NP_001137431.2	C2orf74
NP_852091.1	CCDC39
NP_001128669.1	IHO1
NP_848649.3	KY
NP_997242.2	GADL1
NP_001381883.1	CCDC158
NP_001107859.1	TMPRSS11A
NP_848651.2	TRIML1
NP_001019782.1	LRRC66
NP_848652.2	NAT8L
NP_001003841.1	SLC6A19
NP_938023.1	STING1
NP_001354885.1	FAM170A
NP_001012301.1	ARSI
NP_001358848.1	H3Y2
NP_001004441.2	ANKRD34B
NP_001008783.1	SLC35D3
NP_997243.2	ZC3H12D
NP_001012418.2	MYLK4
NP_001020461.1	DPPA5
NP_001010886.1	CLPSL1
NP_835468.1	TREML1
NP_848653.2	ZNF680
NP_001073930.1	UNCX
NP_001032852.2	COL28A1
NP_001157413.1	ABCB5
NP_954587.2	FAM221A
NP_848656.2	CTAGE6
NP_848657.1	TSPAN33
NP_848658.3	AGBL3
NP_001075144.2	KLHL38
NP_848659.2	NRBP2
NP_998770.2	ZNF517
NP_001303238.1	WDR97
NP_001267490.1	TMEM249
NP_848660.3	RSPO2
NP_848661.1	ZDHHC21
NP_001010887.2	ACER2
NP_001392080.1	RTL5
NP_001013649.2	NHSL2
NP_001012995.1	PABPC1L2A
NP_001008537.1	NEXMIF
NP_001012996.1	BEX5
NP_001012997.1	TCEAL5
NP_872413.1	VSIG1
NP_001010888.3	ZC3H12B
NP_001354786.1	SATL1
NP_001013650.1	DCAF12L2
NP_001382291.1	RTL4
NP_835469.1	LHFPL1
NP_981952.1	EZHIP
NP_001121687.1	LIPM
NP_899230.2	CYP26C1
NP_001258975.1	VWA2
NP_955631.1	NANOS1
NP_001017924.1	LRIT2
NP_001099044.1	HMX3
NP_001382901.1	AKR1C8
NP_001135780.2	MALRD1
NP_001381686.1	EBLN1
NP_001005162.2	OR52B6
NP_001278992.1	OTOG
NP_001374203.1	DCDC1
NP_940900.2	POU2AF2
NP_996776.2	MS4A10
NP_001392781.1	OR2AT4
NP_001092142.1	HEPHL1
NP_001004460.1	OR10A2
NP_937828.3	OVCH2
NP_001382137.1	SMCO2
NP_001340108.1	OVCH1
NP_945343.1	SYT10
NP_001073923.1	ACSM4
NP_872414.3	ANKRD33
NP_473446.1	OR6C2
NP_001005494.1	OR6C4
NP_861453.1	H1-7
NP_001377778.1	OR8S1
NP_997244.4	FREM2
NP_001352481.1	NEK5
NP_001001968.1	OR6S1
NP_001293016.1	SLC35F4
NP_001382577.1	LRRC9
NP_892016.1	COX8C
NP_861454.2	GLDN
NP_001033729.2	GOLGA6A
NP_001074001.1	TMC3
NP_001004309.2	ZNF774
NP_001264242.1	FMN1
NP_001138483.1	C16orf96
NP_001012999.3	ZKSCAN2
NP_001131147.1	ATXN1L
NP_853514.1	PKD1L3
NP_852114.2	CD300E
NP_001108446.1	SMTNL2
NP_954984.1	NACA2
NP_853515.2	KRT27
NP_001123292.1	SLFN14
NP_945344.1	STAC2
NP_001264262.1	ANKRD62
NP_001139811.1	VSTM2B
NP_001180481.1	ZNF850
NP_001001414.1	NCCRP1
NP_001073937.1	SYCN
NP_001369274.1	LEUTX
NP_001028891.2	ZNF404
NP_001032902.1	ZNF284
NP_001182005.1	C19orf81
NP_872415.1	ZNF677
NP_001138486.1	RFPL4A
NP_001073925.2	ZSCAN5B
NP_862829.1	ZSCAN22
NP_001092092.1	NANOS3
NP_001138500.2	PALM3
NP_001158160.1	RD3
NP_001013652.1	AADACL4
NP_001013425.2	PRAMEF5
NP_001013653.1	HNRNPCL1
NP_001010890.2	PRAMEF9
NP_001034450.3	PRAMEF10
NP_001365133.1	CCDC18
NP_001005286.1	OR6F1
NP_001004732.2	OR14K1
NP_001001957.2	OR2W3
NP_001005522.1	OR2T8
NP_001005495.1	OR2T3
NP_001010985.2	MYBPHL
NP_001382678.1	OR10R2
NP_001004310.2	FCRL6
NP_940905.2	KCNT2
NP_064447.1	BARHL2
NP_001364463.1	DYNLT4
NP_001004694.2	OR2T29
NP_001157903.2	ARHGAP40
NP_001025042.2	RSPO4
NP_945345.2	TGM6
NP_001011718.1	XKR7
NP_001099039.1	MSGN1
NP_997245.2	CRACDL
NP_001004311.2	FIGLA
NP_001127934.1	NOTO
NP_001382890.1	ZNF892
NP_997246.2	NCKAP5
NP_001129121.1	FOXI3
NP_001073927.1	EVX2
NP_001384829.1	CDKL4
NP_001092759.1	SH3RF3
NP_997247.2	GPR148
NP_001073929.1	LRRIQ4
NP_001291295.1	SAMD7
NP_997248.2	AADACL2
NP_001033794.1	GPR149
NP_001131146.2	ZNF860
NP_001382436.1	TMPRSS7
NP_001186144.1	CD200R1L
NP_940906.1	PAQR9
NP_001004312.2	RTP2
NP_937827.1	OSTN
NP_940907.2	ATP13A5
NP_001341560.1	REELD1
NP_899231.4	PRSS48
NP_001025041.1	SOWAHB
NP_940908.3	LRIT3
NP_001036155.1	MSANTD1
NP_932069.1	SLC10A6
NP_835236.2	HSD17B13
NP_001025057.1	PFN3
NP_001129588.1	ZNF879
NP_001005473.1	PLCXD3
NP_001139277.1	IRGM
NP_001342203.1	FBLL1
NP_001177716.1	MCIDAS
NP_001017992.1	ACTBL2
NP_940909.1	FAM174A
NP_001350747.1	MTX3
NP_001010892.1	RSPH4A
NP_001071174.1	ECT2L
NP_001136272.1	EYS
NP_001070249.1	ZNF391
NP_001103279.2	ZFP57
NP_997249.2	SEPTIN14
NP_877439.3	MACC1
NP_001001667.1	OR6V1
NP_001004135.1	OR2A12
NP_001005287.1	OR2A1
NP_001095856.1	GNAT3
NP_835470.1	MOGAT3
NP_001122398.1	GARIN1A
NP_001381330.1	STRA8
NP_940910.1	KLRG2
NP_001010893.1	SLC10A5
NP_001382354.1	ADGRD2
NP_937823.1	QRFP
NP_001004451.1	OR1J1
NP_001004450.2	OR1B1
NP_919289.2	KIF24
NP_001007564.1	IGFBPL1
NP_001018126.1	CAVIN4
NP_009068.2	ZNF81
NP_940912.1	ITIH6
NP_001163802.1	LANCL3
NP_001182451.1	MPC1L
NP_001340379.1	DCAF8L2
NP_001099046.1	SOWAHD
NP_001004486.1	OR13H1
NP_001340382.1	CCDC160
NP_001013421.1	CXorf66
NP_940914.1	DGAT2L6
NP_001350736.1	RAB41
NP_001011719.1	ARSH
NP_001258681.1	MAGEB5
NP_001342205.2	CENPVL3
NP_001382951.1	GNG5B
NP_817124.1	TUBB8
NP_849161.2	LRRTM1
NP_821079.3	LRRTM3
NP_821138.1	CATSPER3
NP_821080.1	TUBB2B
NP_835361.1	SLC35B2
NP_849196.2	SERINC2
NP_001335947.1	NME9
NP_001258934.1	OTOP3
NP_001138492.1	C6orf52
NP_005986.2	TBX10
NP_872418.1	GATD1
NP_001357228.1	AMIGO2
NP_872420.1	TMEM255B
NP_919248.1	RBPMS2
NP_874362.3	ANKDD1A
NP_872422.1	ARPIN
NP_001098539.1	ACSM2B
NP_001357452.1	CLEC18A
NP_001012777.1	CTU2
NP_872426.1	SKA2
NP_997251.2	MCRIP1
NP_874363.1	SELENOV
NP_001308910.1	ZNF530
NP_001036158.1	SHISAL2A
NP_872429.2	FAM131C
NP_001123481.3	GEN1
NP_001350815.1	FTCDNL1
NP_872433.1	WDR53
NP_001078920.1	LNP1
NP_872434.2	CFAP100
NP_872438.2	SLC6A18
NP_001092757.2	NIPAL4
NP_066550.2	HCN1
NP_942590.1	NUP43
NP_872439.2	ZNF713
NP_938026.2	WDR86
NP_853516.1	GJC3
NP_954714.2	FOXD4L4
NP_001388529.1	NMNAT3
NP_001138496.1	PLET1
NP_848665.1	RTN4RL2
NP_001318005.1	GPR142
NP_001243644.1	DNAAF3
NP_001010905.1	C6orf58
NP_001001415.2	ZNF429
NP_001001788.2	RAET1G
NP_847884.2	RILPL1
NP_848125.1	LCE1A
NP_848126.1	LCE1B
NP_848128.1	LCE1C
NP_848129.1	LCE1D
NP_848130.1	LCE1E
NP_848131.1	LCE1F
NP_848515.1	LCE2A
NP_848516.1	LCE2C
NP_848517.1	LCE2D
NP_848518.1	LCE3A
NP_848520.1	LCE3B
NP_848521.1	LCE3C
NP_848522.1	LCE3E
NP_001375394.1	TBC1D26
NP_852094.2	TAS2R42
NP_851321.2	ZACN
NP_851322.3	SLCO4C1
NP_997304.3	PADI6
NP_001382928.1	RAMACL
NP_852466.1	ZNF445
NP_853517.2	KRT26
NP_001131141.1	RGSL1
NP_859077.1	ANKRD37
NP_859012.1	KRTAP12-2
NP_859078.1	SPATA12
NP_859014.1	KRTAP12-1
NP_859016.1	KRTAP10-10
NP_001368875.1	GPR141
NP_001193934.1	ZNF233
NP_067681.1	TICAM2
NP_861524.2	POLN
NP_861525.2	BMP8A
NP_870996.1	VCY1B
NP_067073.1	LILRA5
NP_001363861.2	BPIFB3
NP_954980.1	DPPA3
NP_874364.1	RFLNB
NP_892017.2	IRF2BP2
NP_919290.2	ZBTB41
NP_001138937.1	NANOGNB
NP_001382442.1	TMPRSS9
NP_892019.2	GLT6D1
NP_001269204.1	PRAC2
NP_001382430.1	PRSS41
NP_057001.1	GSTK1
NP_987090.2	USP50
NP_919225.1	DND1
NP_006373.2	FBXW10B
NP_077718.3	NDUFS7
NP_940916.2	NHLRC2
NP_940917.1	CCDC172
NP_940918.2	GALNT18
NP_001189368.1	NCR3LG1
NP_945185.1	FAM111B
NP_955369.1	TMEM179B
NP_001356425.1	TBC1D10C
NP_705842.2	DNAJB13
NP_778253.2	KRT77
NP_001138498.1	PTPRQ
NP_940923.2	C12orf42
NP_001073933.2	ASPG
NP_001382425.1	TEX9
NP_940927.2	KIF7
NP_940928.2	ZNF710
NP_001273380.1	HDDC3
NP_955535.3	SPMIP8
NP_955371.2	SPEM1
NP_940931.3	EFCAB5
NP_955372.2	LRRC37A3
NP_001354536.1	ANKRD30B
NP_001098998.1	CCDC178
NP_940933.3	ATP9B
NP_940934.1	PEAK3
NP_941995.1	HSD11B1L
NP_940936.2	SAXO5
NP_940937.1	ZNF699
NP_940938.1	TMEM205
NP_940939.2	YJEFN3
NP_001159506.1	SBSN
NP_001032309.2	ZNF829
NP_940941.2	ZNF568
NP_001372577.1	B3GNT8
NP_940943.1	IGFL1
NP_955373.3	ZSWIM9
NP_940944.1	ZNF773
NP_940947.3	DRAXIN
NP_940948.1	SPATA21
NP_955374.1	SVBP
NP_001138946.1	TEX38
NP_001034553.3	MROH7
NP_001403049.1	MIGA1
NP_001073940.1	PEAR1
NP_955376.1	SFT2D2
NP_940953.2	MIA3
NP_001003665.1	STUM
NP_940954.1	FAM89A
NP_955378.1	PFN4
NP_001139182.1	FAM228B
NP_001341516.1	ANKRD36
NP_940959.1	RBM43
NP_963842.1	CERKL
NP_940961.1	CATIP
NP_001073973.3	RBM44
NP_945349.1	AQP12A
NP_940962.1	LHFPL4
NP_001138502.1	TOPAZ1
NP_940964.1	C3orf62
NP_940965.1	STIMATE
NP_940967.1	NRROS
NP_940968.1	C5orf34
NP_001158136.1	MAST4
NP_001295124.1	SIMC1
NP_940970.1	GJB7
NP_940972.2	VWC2
NP_944606.2	TRIM73
NP_940973.2	NAT16
NP_945350.1	SLC26A5
NP_945351.1	LHFPL3
NP_001353051.1	KCP
NP_940974.2	SPATC1
NP_940975.2	ENHO
NP_001093136.1	PTAR1
NP_064592.3	ERCC6L2
NP_001305018.2	SWI5
NP_955382.3	C9orf50
NP_001092007.2	PNPLA7
NP_940978.2	AGRN
NP_945352.4	CYSRT1
NP_963844.2	LRRC10
NP_001295083.1	RAB15
NP_940982.1	SLC27A1
NP_940983.2	ZC3H6
NP_940984.3	KLHL30
NP_958804.2	USP17L2
NP_940986.1	CA13
NP_001028285.1	ENTPD8
NP_942150.1	TRIM74
NP_954988.1	CENPS
NP_937770.1	CATSPER4
NP_940988.2	NHLRC1
NP_932351.1	RNF148
NP_001006121.1	RBMY1B
NP_001006120.2	RBMY1D
NP_001006118.2	RBMY1E
NP_001006117.2	RBMY1J
NP_938167.1	KCTD8
NP_940686.2	KCTD4
NP_001014358.1	IL31
NP_941960.2	KRTAP10-4
NP_941961.3	KRTAP10-6
NP_941962.1	KRTAP10-7
NP_941963.2	KRTAP10-9
NP_941964.2	KRTAP10-1
NP_941965.2	KRTAP10-11
NP_941966.1	KRTAP10-2
NP_941967.3	KRTAP10-5
NP_941968.2	KRTAP10-8
NP_941969.2	KRTAP10-3
NP_941970.2	KRTAP12-3
NP_941971.1	KRTAP12-4
NP_941972.1	KRTAP10-12
NP_942015.1	AMIGO3
NP_001157849.1	MRGPRG
NP_061983.2	ZKSCAN4
NP_001002255.1	SUMO4
NP_001012525.1	CENPW
NP_001387194.1	MTCL3
