NP_001079.1	F1T0I5
NP_705932.2	Q8NFF2
NP_001034444.1	Q8N8R3
NP_001352719.1	A0A1B0GUB7
NP_653198.2	Q8WUR7
NP_996801.2	Q6QHC5
NP_660205.3	Q96LD8
NP_620147.1	Q8WVC0
NP_640335.2	Q96DP5
NP_849190.2	Q86UW2
NP_689547.2	A2RTX5
NP_001337861.1	Q4VC39
NP_653199.2	Q86X40
NP_653200.2	Q7RTP0
NP_689548.2	Q2M3C6
NP_001013641.2	A2RU49
NP_001073904.1	Q8TF30
NP_001373023.1	A0A1B0GVQ2
NP_689550.2	Q6P387
NP_001007123.1	A1L4K1
NP_653201.1	Q96NB1
NP_775745.1	Q96AB6
NP_775746.1	Q8IWE4
NP_848547.4	A0A140VJN4
NP_001295101.1	Q08AH3
NP_853531.1	A0A024R6Y8
NP_653203.1	Q8WTQ4
NP_940845.1	Q496H8
NP_689552.2	Q8IUW3
NP_694940.1	Q8N0W5
NP_001364959.1	H3BLT8
NP_689554.2	Q8N4S7
NP_653205.3	Q86VM9
NP_001002911.1	A0A142CHG1
NP_689555.2	Q8N8U2
NP_597707.1	Q6ZW76
NP_660296.1	Q8TB05
NP_653206.2	Q8IYM1
NP_001124385.1	Q7Z2F6
NP_001077082.1	A0A024R618
NP_878274.1	Q7Z614
NP_001077083.1	Q5JPH6
NP_660297.1	Q8WVE7
NP_001073979.3	A0A024R8M5
NP_620412.1	Q96DH6
NP_001004707.1	A0A126GWK0
NP_001153245.1	A0A024R8U8
NP_775748.2	Q495M9
NP_777552.3	A8K4G0
NP_001033073.1	Q9HBR0
NP_653208.2	Q6P9G0
NP_955353.1	Q6X784
NP_694941.2	Q2TAC6
NP_543012.1	Q8WZ82
NP_001291876.1	A8MX02
NP_694942.3	Q70EL4
NP_001290370.1	Q96MH2
NP_689556.2	Q96LK8
NP_859058.2	Q86WR6
NP_001358374.1	Q3MHD2
NP_775749.2	Q8N815
NP_653210.2	Q96MW1
NP_783165.1	Q8TEU8
NP_001291367.1	Q6IEE7
NP_776246.1	A0A080YUZ7
NP_001167574.1	A0A5H1ZRP1
NP_689559.1	Q8N370
NP_653212.1	Q8WUJ1
NP_689558.4	A0A024QZ29
NP_849191.3	Q53EL9
NP_777553.1	Q8IXM2
NP_694563.1	Q96NJ6
NP_001118230.1	Q8IVW8
NP_001275631.1	J3KPJ0
NP_689560.3	Q8IY85
NP_660298.2	Q7Z7H8
NP_689343.3	A0A654IC68
NP_001010982.2	Q63HM1
NP_001157281.1	Q562E7
NP_001036162.1	A0A024RD64
NP_689562.1	Q8N1A0
NP_001376173.1	Q6A162
NP_061893.2	Q8TBP0
NP_689565.2	Q96ND0
NP_919257.2	Q6PI98
NP_631901.2	Q96C03
NP_001035915.1	A0PJK1
NP_001129465.1	Q8N584
NP_001037834.2	Q0P6D2
NP_689566.1	Q8NHS1
NP_001189386.1	A0A024R4J0
NP_001096067.2	Q6UY09
NP_001005191.1	A0A126GVR1
NP_998763.2	Q08ER8
NP_597709.3	A0A087WZ13
NP_653214.2	Q6YFQ2
NP_597999.1	Q8TDN7
NP_001004456.1	Q8NGA1
NP_001005192.2	A0A126GVS6
NP_659483.2	A0A140VJF7
NP_991330.1	Q5XKP0
NP_653215.2	Q8NHZ7
NP_777555.1	Q8IVA1
NP_573399.2	A0A0A0MRF2
NP_001035927.1	Q8IUR0
NP_001004301.2	Q6ZN06
NP_689568.2	Q8N8Z8
NP_787067.3	A0A6I8PRB2
NP_001257568.1	A0A024R4G2
NP_001073972.2	P0C7I6
NP_689569.2	Q8N8L2
NP_689570.2	Q8IYI8
NP_689571.2	Q6UXV1
NP_001186682.1	A0A024QZE3
NP_665806.1	Q8WTR8
NP_699160.2	Q8IZ83
NP_789781.2	Q86W28
NP_001002836.2	Q6DD87
NP_775750.3	Q6ZMY6
NP_789780.2	Q86W25
NP_703148.4	P59047
NP_689575.2	Q8WVP5
NP_689574.1	Q96D98
NP_001166161.1	Q86YE8
NP_775751.1	A5HJR3
NP_001007562.1	Q8WZA9
NP_872304.2	Q96B54
NP_653217.1	Q96MG2
NP_778148.2	Q6NUT3
NP_570719.1	Q96BX8
NP_573568.1	Q8TF64
NP_775752.1	Q8IVT2
NP_783313.1	Q86Y39
NP_001073905.1	A6NIX2
NP_001004713.1	O60431
NP_660299.2	Q8N386
NP_787068.3	Q3KQV3
NP_795361.1	Q86WQ0
NP_653218.1	O14558
NP_775753.2	Q8IYK2
NP_775754.2	Q6NT55
NP_849142.1	A0A384MR61
NP_001182762.1	Q6ZS11
NP_001243370.1	A0A804HLH2
NP_001230008.1	Q496M5
NP_001004465.1	A0A126GVV2
NP_689576.6	Q8NAG6
NP_653219.1	Q8TAK5
NP_001129735.1	Q8TF44
NP_001116437.1	Q6XPR3
NP_001008536.1	Q5QJ38
NP_001096071.1	A0A0D9SF12
NP_001010846.1	Q5VZ18
NP_001010847.1	Q5VT99
NP_660300.3	Q6IQ19
NP_689578.2	Q8NAX2
NP_699170.1	Q8N0Z8
NP_001096640.2	Q5VUY0
NP_542172.2	Q96L58
NP_689579.3	Q8NEP7
NP_660155.2	A0A140VJZ8
NP_066403.2	Q71DI3
NP_689580.2	Q8N8X9
NP_001129737.1	Q5TF58
NP_001231954.1	Q5T5A4
NP_001107578.1	Q8N4M1
NP_620149.2	Q5VWZ2
NP_001337104.1	A0A804HIX1
NP_653297.3	Q5T1B0
NP_001004689.1	A0A126GV67
NP_001004690.1	A3KFT3
NP_001004692.1	Q8NG77
NP_001001918.1	Q8NHC7
NP_001001821.1	Q8NGX1
NP_001004693.1	A0A126GV79
NP_001004696.2	A0A2C9F2M9
NP_001363790.1	Q96LB4
NP_543144.1	Q8WXJ9
NP_001001964.1	Q8NH01
NP_612476.1	Q6IPR3
NP_877429.2	Q5T0D9
NP_001099129.1	A6PVS8
NP_001002912.4	Q5RHP9
NP_689584.5	Q8TBF2
NP_689585.3	Q5VTT5
NP_001008740.1	A0A140VKB8
NP_001004469.1	A0A126GV70
NP_689586.3	Q5T5D7
NP_714914.3	Q7Z5L7
NP_694580.1	Q96MN5
NP_001366230.1	Q8WW32
NP_653221.1	Q96DD0
NP_694944.1	A0A654IBS8
NP_001073907.1	U3KPV4
NP_001342164.2	Q8NGZ0
NP_653223.2	Q5T1A1
NP_001004492.1	A0A126GVY5
NP_001383035.1	A0A6Q8PHD8
NP_940848.2	Q6ZSJ8
NP_001009992.1	Q5T619
NP_741997.3	Q5T9Z0
NP_689587.1	Q8TAB5
NP_689588.2	Q5VTJ3
NP_620150.1	A0A024R977
NP_940849.1	Q6ZVE7
NP_689589.1	Q96LJ8
NP_796376.2	Q8N9I0
NP_689590.1	Q8N0U7
NP_787062.1	Q8TAS1
NP_689592.2	Q8NDD1
NP_001002901.1	Q6BAA4
NP_714924.1	Q8IVB5
NP_001354411.1	A0A0C4DG52
NP_665860.2	Q8WWZ3
NP_653227.1	Q96AQ2
NP_620151.1	Q96L03
NP_775755.3	Q5JT82
NP_001291746.1	Q96A04
NP_839943.3	Q86VI3
NP_852128.1	A0A024R3U3
NP_778225.1	Q8N257
NP_658985.2	Q8NCW5
NP_694945.2	Q8IW93
NP_001336813.1	A0A024R0B7
NP_857594.2	Q8TCI5
NP_001153797.1	A0A126GV72
NP_001004475.1	A0A126GV74
NP_001004477.1	A0A126GWA4
NP_001005184.2	A0A286YF06
NP_001004478.1	A0A126GV63
NP_001005185.1	Q8NGY5
NP_001036017.1	Q17R31
NP_690603.3	Q8IVV8
NP_542173.2	A0A087WXG3
NP_543145.1	Q8WWY7
NP_542174.1	Q96N03
NP_001073941.1	Q8N6M3
NP_542175.1	Q9BR10
NP_542452.1	Q9BR26
NP_848551.1	Q9H1P6
NP_848555.2	Q9H106
NP_653229.1	Q96BZ9
NP_001243467.1	Q9NUB4
NP_658986.1	Q8NFJ6
NP_775756.3	Q9NRE2
NP_612140.1	Q9H114
NP_001009608.1	Q5VYV7
NP_848552.1	Q5JPB2
NP_542177.1	A0A140VJH1
NP_001008693.2	Q5W186
NP_777557.1	Q8NFQ5
NP_848561.2	Q9BQP9
NP_543015.1	Q9BQM9
NP_789782.1	Q9H444
NP_536724.1	Q9H490
NP_848563.1	Q9BQN1
NP_690870.3	Q6ICL3
NP_001032903.1	Q2WGN9
NP_542778.2	A0A0G2JN84
NP_620152.1	Q6NXT1
NP_001129101.1	Q6ZMI0
NP_001263982.1	Q86V40
NP_001026908.1	Q86TG1
NP_612142.2	Q8NFH5
NP_001034782.1	A2RUC4
NP_620153.1	Q8WV92
NP_001011717.1	A0A250SI41
NP_777558.1	Q8N1E2
NP_620154.2	Q6ZWT7
NP_689596.4	Q8IYB7
NP_690047.2	Q96B42
NP_612639.2	Q7Z7C8
NP_694946.2	Q53RD9
NP_997198.2	Q5EBM0
NP_001093866.1	Q8N5S3
NP_001161072.1	B3KR54
NP_620155.1	Q96BQ3
NP_689597.1	A0A0S2Z626
NP_612199.2	Q8TDX5
NP_001078916.1	B4DX81
NP_001001656.1	A0A126GVB1
NP_001009993.2	A0A024QZ31
NP_001275551.1	A0A024R3W3
NP_001008388.1	Q6UW15
NP_001025052.1	A0PJX0
NP_653230.2	Q52LD8
NP_001309260.1	Q3KRA6
NP_689598.2	Q8NHS4
NP_742066.2	Q8IVE3
NP_660303.1	Q8TAX0
NP_660302.2	Q8NER5
NP_689599.2	Q8IWX5
NP_001008238.1	Q5I0X7
NP_689600.2	Q6PI47
NP_742067.3	Q6ZT12
NP_653232.3	Q8N8E2
NP_919298.1	Q86Y78
NP_620712.2	Q8NHX4
NP_001005209.1	A0A024R483
NP_620157.1	Q8WV99
NP_620156.1	A0A384MDW6
NP_689603.2	Q8NBL3
NP_775100.1	Q8IVL8
NP_001358250.1	Q96LR7
NP_653233.5	Q6ZP80
NP_001034934.1	Q5I0G3
NP_689604.1	Q8N755
NP_872307.2	Q7Z6M4
NP_777559.3	Q8NEA4
NP_620158.3	Q8NFR7
NP_001308668.1	Q8TC57
NP_570720.1	Q96A23
NP_001017928.1	Q4VC31
NP_653234.2	Q96L42
NP_660304.1	A0A0S2Z5X1
NP_001073909.1	A6NHN0
NP_653235.1	A0A080YUZ5
NP_620160.1	A0A0A8K9B4
NP_001316717.1	Q8TCW7
NP_689606.2	Q2TBA0
NP_653236.3	Q6UXB0
NP_001034200.1	Q2Q1W2
NP_001091972.1	A0A024R2I5
NP_001034706.1	Q8WVZ1
NP_570843.2	Q8TF66
NP_001129525.1	Q86W33
NP_710157.2	Q8N2R8
NP_653239.1	Q69YG0
NP_653240.1	Q96N76
NP_563615.3	Q96PD2
NP_689607.2	Q7L0X2
NP_689608.2	Q96DE0
NP_631948.1	Q8WTQ7
NP_997199.1	Q6UWW9
NP_001096078.1	A6NMZ7
NP_689609.2	Q8TCB7
NP_689610.2	Q8N6M8
NP_714919.2	P59025
NP_705613.1	Q8NFR9
NP_001342165.1	Q96BT1
NP_001074006.1	A6NMZ2
NP_660305.2	A1LQE8
NP_694947.1	Q8N112
NP_722575.1	Q8IZA3
NP_001014446.1	Q56VL3
NP_653244.2	Q96NL6
NP_001371261.1	Q4W5P6
NP_001093253.1	Q8N1A6
NP_001108206.3	P0CB38
NP_777560.2	Q96MM3
NP_640336.1	Q96M93
NP_919258.2	Q6MZP7
NP_660306.1	A0A140VKF4
NP_689613.2	Q8N8J7
NP_872308.2	Q86T26
NP_612208.1	A0A024R9X5
NP_653245.2	Q8NEY3
NP_001350723.1	A0A1W2PS79
NP_667338.3	Q86UK5
NP_861522.2	Q4L235
NP_653246.2	Q96KX1
NP_689614.2	Q8N4E4
NP_001245274.1	Q8N7B6
NP_689615.2	Q8N609
NP_699174.1	Q6UWR7
NP_819056.1	Q7RTM1
NP_849155.2	A0A024RDJ7
NP_714917.2	Q8NE22
NP_775759.3	A0A140VJU7
NP_940851.1	Q6PCB8
NP_001138426.1	Q569G3
NP_573570.3	Q86YN6
NP_001078880.1	Q4G0N4
NP_570721.1	Q96M27
NP_689617.3	A8K444
NP_775760.3	Q7Z745
NP_001036090.1	Q8WWF8
NP_660308.1	Q96BQ5
NP_997200.1	Q6S9Z5
NP_689618.4	Q8N9B5
NP_001138633.1	A1L167
NP_001001657.1	Q8NGV0
NP_954584.2	Q6P4H8
NP_620164.1	Q96DG6
NP_694948.1	Q8N7G0
NP_001083053.1	A4QMS7
NP_689620.2	Q8TAA5
NP_689619.1	Q8TED9
NP_694949.1	A0A024RAN0
NP_775761.4	Q8WVE6
NP_001012339.2	Q5F1R6
NP_775762.1	P83369
NP_001092741.1	Q8NA72
NP_631903.1	Q96DR4
NP_919227.2	Q8TDV0
NP_660309.1	Q8WVJ2
NP_644810.2	A0A0A0MTB8
NP_659486.2	Q8WVY7
NP_570123.1	Q8WYK0
NP_001129058.1	Q7Z6I8
NP_001166171.1	Q2M3G4
NP_001010844.1	Q5VVH5
NP_001009994.1	Q5TAB7
NP_872309.2	Q7Z6V5
NP_001010852.2	Q5SYC1
NP_778227.3	Q96RI9
NP_612200.1	Q96RJ0
NP_001121187.1	Q5T5C0
NP_612638.3	Q9NQE9
NP_542780.1	Q9NPZ5
NP_861447.3	Q8NI08
NP_660310.2	Q5VUM1
NP_001380986.1	Q8TD07
NP_598000.2	Q6YHK3
NP_542781.3	Q8WXF0
NP_001010853.1	Q8IYS1
NP_001139124.2	Q5SZD1
NP_683762.2	Q8NHY5
NP_001273562.1	A0A1U9X8U1
NP_001001658.1	Q8NGT5
NP_872310.2	Q6UE05
NP_001369425.1	Q96L11
NP_001269805.1	Q8IV31
NP_001001659.1	A0A126GVB0
NP_001073882.3	O60393
NP_001005281.1	O95007
NP_001004685.1	O95006
NP_689624.2	Q8N393
NP_001008271.2	A4D1T9
NP_001265492.1	Q96A83
NP_660311.1	A4D1L0
NP_619638.2	Q8TD94
NP_001093629.1	Q8NEG2
NP_001132928.1	Q8N434
NP_665807.1	P58546
NP_001135931.2	Q8WXI3
NP_653249.1	Q96M69
NP_619646.1	A4D1W6
NP_001001317.1	Q8IYP2
NP_542782.1	Q8WTU2
NP_570124.1	Q8WWH4
NP_620166.3	Q8N865
NP_919260.2	Q96B33
NP_689625.2	Q7Z3I7
NP_689626.2	Q8NHS2
NP_660312.2	A1XBS5
NP_689628.2	Q8NEZ2
NP_001273586.1	Q96MH6
NP_631905.1	Q8N0Z2
NP_991108.1	F1T0L0
NP_689629.2	Q330K2
NP_001129743.2	A6NCS4
NP_001369332.1	Q6P5X7
NP_653251.2	Q8IWW8
NP_001071087.1	Q14CS0
NP_848934.1	Q86UL3
NP_653252.4	A1KZ92
NP_776247.3	Q86SE5
NP_689631.1	Q8NA75
NP_001273748.1	Q2VYF4
NP_001358166.1	A0A024R834
NP_543148.2	Q6UXZ4
NP_001041730.1	Q5BN46
NP_689633.1	Q8N4J0
NP_653254.1	A0A024R8I0
NP_001122090.2	A0A494C0F4
NP_001010940.1	Q5VTT2
NP_848564.2	A0A384MDK0
NP_689634.2	Q5VUD6
NP_001002913.1	Q86Y79
NP_001128691.1	Q5T9C9
NP_001017363.1	A6NKF2
NP_722516.1	Q8IZX4
NP_680544.1	Q8N5L8
NP_001240758.1	A0A087WTF0
NP_001004482.1	Q8NGS8
NP_001004483.1	A0A126GVC7
NP_001001961.2	A0A286YF40
NP_001001919.1	A0A126GVC9
NP_976044.2	Q5VYM1
NP_001004485.1	Q8NGS4
NP_001004454.1	A0A126GVC5
NP_001004457.2	A0A126GW94
NP_036495.1	A0A126GW31
NP_001171678.1	Q8IW52
NP_619647.1	Q8TD91
NP_699177.2	Q8NDZ0
NP_848565.2	Q5VU92
NP_775764.2	Q8IV76
NP_775765.1	Q9NQM4
NP_001164491.1	Q5H9M0
NP_001013764.1	Q5KSL6
NP_997201.1	B0QYU2
NP_689637.3	Q5JTC6
NP_776155.1	Q8IVP5
NP_940852.3	Q6UXV4
NP_001170950.1	Q7Z353
NP_997202.3	Q6ZMV5
NP_775766.2	Q96NR3
NP_872312.2	Q96LZ2
NP_659489.1	A8KAF9
NP_997203.1	Q7L8S5
NP_001017930.1	A6NGE4
NP_001357087.1	A2A368
NP_940853.1	Q6PJQ5
NP_619648.1	Q8TD90
NP_001353906.1	Q6P2M8
NP_001129745.1	A6NM28
NP_612146.1	Q8TDG2
NP_001017931.3	Q5JUK9
NP_848566.1	Q8TDV5
NP_001138818.1	Q8N7X1
NP_853630.2	Q8IUC0
NP_001012986.2	Q56A73
NP_001034656.1	Q8TD47
NP_653259.3	Q5JSL3
NP_653260.1	Q8TDR4
NP_849192.1	Q8IZP6
NP_543149.1	Q8WXH4
NP_543150.1	Q5HYF3
NP_937886.1	A0A024RC94
NP_002466.1	A0A024RB31
NP_001026909.1	A0A024RBW7
NP_077000.1	Q9H765
NP_060343.1	Q9NWX5
NP_060553.4	Q9NW07
NP_112198.1	A0A024RD87
NP_620482.3	Q8WXR4
NP_525128.2	Q8WTQ1
NP_525127.1	Q96FQ6
NP_079220.2	Q9H9P2
NP_689639.2	B2CML4
NP_598001.1	Q8TDX7
NP_525129.1	Q9H3H9
NP_065879.1	Q8NHY6
NP_536356.3	Q8TDY3
NP_542119.1	Q9H598
NP_542141.1	Q96DR5
NP_542181.1	Q8IUB2
NP_536721.1	Q9BWX5
NP_695001.2	Q9NUD7
NP_542184.1	Q9NTU7
NP_001356670.1	Q86UZ6
NP_001243727.1	A0A087X0N3
NP_001373922.1	Q8NI51
NP_892030.3	Q86WT6
NP_542188.1	Q9BYL1
NP_542189.1	Q9H3Z7
NP_542193.3	Q8WY22
NP_001352621.1	Q9NUG4
NP_542195.1	A0PJX2
NP_892015.1	Q9H426
NP_001291298.1	Q9BZ19
NP_542406.2	A0A384MDU5
NP_542408.1	Q96FJ2
NP_899063.2	Q8WXS4
NP_542409.1	Q969M7
NP_542454.3	Q8IZ57
NP_542453.2	Q8WXS8
NP_658988.2	Q8TEV9
NP_542784.1	Q96L21
NP_542763.1	Q9BYN0
NP_542785.1	Q14CN4
NP_542787.1	Q9BR09
NP_060132.3	Q9BX84
NP_542791.1	Q9H1F0
NP_542786.1	P60602
NP_848572.3	A0A140VK85
NP_542790.2	Q96MP5
NP_620713.1	Q9H1M4
NP_689880.1	Q8TBE9
NP_848578.1	Q9UJQ7
NP_543016.1	B1AKI9
NP_543017.1	A0A0K0K1K0
NP_543021.1	A0A384MEC8
NP_570612.1	A0A384P5Z6
NP_001277197.1	A0A499FJE4
NP_542942.2	A0A0D9SEJ8
NP_543022.1	Q96DU9
NP_001035112.1	P78324
NP_543023.2	Q8NC74
NP_001352638.1	Q96M20
NP_570900.1	Q8TF63
NP_543026.2	Q8TDR2
NP_848586.1	Q9H3Y0
NP_543152.1	Q8WTR2
NP_001164158.3	E9PD12
NP_543154.1	Q8WWU7
NP_001170787.2	Q8N130
NP_543155.2	Q8WXH6
NP_001277187.1	A0A384NYV2
NP_997204.2	Q6P461
NP_001167627.1	Q96LT4
NP_631908.1	Q8WWH5
NP_001010939.2	Q5W064
NP_001305099.1	Q5T2T1
NP_660207.2	Q96AJ9
NP_001255982.1	Q8WWB3
NP_001093162.1	Q6IS14
NP_001018081.4	Q68DX3
NP_877497.4	Q5U5R9
NP_689642.3	Q8TAT2
NP_001337860.1	Q8WW14
NP_722517.3	Q86Y37
NP_783860.1	Q86SS6
NP_777562.1	Q86YD5
NP_001005161.2	A0A126GW82
NP_689643.2	A0A126GVF8
NP_001365086.1	A0A804HIK0
NP_001073915.2	C9JXX5
NP_001128563.1	A0A0A0MT67
NP_659490.4	Q8IYU4
NP_653265.3	Q5HYJ3
NP_653266.2	P58005
NP_940841.1	A0A024R3B5
NP_689645.2	A6NI28
NP_689644.2	A0A140VKG8
NP_714916.3	A0A024R3C4
NP_689647.2	Q2TBE0
NP_001073910.1	A6NLP5
NP_612480.1	Q9BUA3
NP_919261.2	Q68D10
NP_699178.1	Q8N2M4
NP_001316559.1	E9PKC0
NP_001004489.1	A0A126GVD0
NP_835462.1	A0A126GWR0
NP_689648.2	Q96NU7
NP_694571.2	A0A024R0W7
NP_001013642.2	Q5I7T1
NP_001257325.1	Q4G1C9
NP_001352085.1	Q6ZTI6
NP_859059.1	Q7Z5W3
NP_689650.1	A0A024RBR7
NP_705898.1	Q86YQ8
NP_001001660.2	Q6IPR1
NP_001074294.2	A0PK00
NP_653269.3	Q8TBY9
NP_001094387.1	P0C672
NP_116124.2	Q8N1M1
NP_976328.2	Q96AV8
NP_787070.2	Q5U649
NP_689654.1	Q8N1E6
NP_872313.2	Q6KB66
NP_653271.3	A8K2U0
NP_653272.2	Q8N4B1
NP_001305861.1	Q8N7L0
NP_001273464.1	B4DX60
NP_694950.2	Q8IV20
NP_001376249.1	A0A024QZ98
NP_919299.3	Q6Y288
NP_689656.2	A0A0S2Z613
NP_776248.1	P56915
NP_001369196.1	Q8IW75
NP_821092.1	A0A024R6J9
NP_758953.1	Q96LQ0
NP_722518.2	Q8IZM9
NP_001374996.1	Q8TD10
NP_001139626.1	Q8N8N7
NP_001193602.1	Q7Z5M8
NP_001001872.2	Q86TY3
NP_689658.3	A0A024R6F8
NP_954993.1	Q6H9L7
NP_612485.2	Q86V88
NP_689659.2	Q6ZU80
NP_689661.1	Q8NHR7
NP_001010854.1	Q86TV6
NP_689660.2	Q96NI6
NP_997205.2	Q8NCU7
NP_689663.2	Q8TBF8
NP_001185713.1	H3BRN8
NP_001271346.1	Q5XG99
NP_001137408.1	A6NNL5
NP_001035047.1	Q0VG99
NP_689666.2	A0A024R9I9
NP_612640.1	Q8WWG1
NP_001359009.1	Q8IWY8
NP_839946.1	A0A024RC58
NP_775771.3	Q6IQ55
NP_001073911.1	A6NNN8
NP_001292132.1	Q8TF47
NP_612486.2	Q8IWY9
NP_775886.3	A6NCI4
NP_001171491.1	Q3B7T3
NP_653274.1	Q8TAZ6
NP_653275.1	Q96M29
NP_001094385.1	Q17RG1
NP_001013860.1	Q6F5E8
NP_777563.2	Q2KHN1
NP_660313.1	P0CG20
NP_699181.2	Q8N461
NP_001103233.1	Q6UXU4
NP_001380423.1	A0A024QZ87
NP_001371692.1	A0A804HL90
NP_689670.1	Q96LX8
NP_001356596.1	A1A5D9
NP_653277.2	Q8WW62
NP_689671.2	A0A024QZC7
NP_660314.1	A0A0S2Z633
NP_631909.2	Q8IYS4
NP_001186101.1	Q3V5L5
NP_775773.2	Q5K4E3
NP_001076437.1	Q6ZVM7
NP_620587.2	Q8TDQ1
NP_001350693.1	A0A1B0GV70
NP_848663.1	Q86UN2
NP_775774.1	Q8N7B9
NP_001007531.1	Q96T59
NP_653282.2	Q96M95
NP_694552.2	Q2M2E3
NP_659491.4	Q8N1V2
NP_001010855.1	Q5UE93
NP_660315.2	Q8WW18
NP_653283.3	Q68D06
NP_660316.2	Q6UXG3
NP_689675.1	Q8N808
NP_689677.1	Q8N511
NP_775102.3	Q96C34
NP_689676.2	Q96AY2
NP_001252506.1	Q86Y91
NP_653284.2	Q6UX07
NP_001353230.1	A0A804HIV4
NP_848588.3	Q6P988
NP_573571.1	Q8TF74
NP_853512.1	Q7Z3Z0
NP_689681.2	A0A024R8N8
NP_663626.2	Q8TD33
NP_659492.1	Q96B23
NP_631910.1	P59095
NP_872317.1	A0A024R380
NP_001029344.4	Q3SY17
NP_597716.1	Q6UXH8
NP_817123.1	Q86SJ6
NP_775776.2	Q8N6D5
NP_694545.1	Q8J025
NP_001157394.1	Q86VR7
NP_001180552.1	I3L1E1
NP_653285.2	Q8WV37
NP_001303901.1	W5XKT8
NP_001093164.1	Q96N58
NP_689686.2	B6SEH8
NP_001180557.1	P0DL12
NP_689687.1	Q8NEA5
NP_689688.2	Q8TAU3
NP_001073870.1	Q8N819
NP_597717.1	Q8TF45
NP_001192209.1	A1L1A6
NP_775777.3	A8K8E0
NP_631911.1	Q8WZ59
NP_803136.2	A0A024R0V3
NP_689689.2	Q96MR9
NP_653286.2	A0A140VJL1
NP_976308.1	Q8NCA9
NP_653287.2	A0A087WVI4
NP_694951.1	Q96C55
NP_660319.1	Q8TA94
NP_653289.3	Q8N6L0
NP_659493.2	Q96B18
NP_787071.3	Q8N196
NP_001128585.1	Q6UWQ7
NP_653290.2	Q8TAQ5
NP_777565.3	Q17RN3
NP_001307300.2	A0A024R4P7
NP_604393.2	Q96MN2
NP_689692.2	Q8N6N2
NP_689691.2	Q96ND8
NP_653292.2	Q6ZSI9
NP_891549.1	Q8IUC6
NP_001166245.1	Q6ZPD9
NP_859061.3	Q8WWF5
NP_001007249.1	Q96NL3
NP_694953.2	Q8IUL8
NP_659494.2	Q6NZY7
NP_653294.1	Q96NG5
NP_001342166.1	A0A804HJ59
NP_689694.1	Q17R55
NP_689695.2	Q9UFG5
NP_001092096.1	A6NK75
NP_612143.2	Q96N22
NP_872321.2	A0A087WU35
NP_660156.1	O95057
NP_620168.1	O60423
NP_690004.4	Q8NEP9
NP_689697.2	A0A024R0G4
NP_689698.1	A0A0A8K8E6
NP_001240701.1	Q5T7P8
NP_653295.1	Q96NI8
NP_001242907.1	Q8TEY5
NP_653296.2	Q5VW32
NP_001372570.1	A0A087WU74
NP_001164225.1	G8JLG8
NP_932343.1	Q8N6N3
NP_722519.2	A0A158RFV6
NP_653298.1	Q8N365
NP_689700.1	Q96MV1
NP_001137461.1	Q96M43
NP_001353161.1	A0A0A0MRP4
NP_998818.1	A0A024R4F5
NP_775780.1	Q96GL9
NP_689703.1	Q8NCR0
NP_689704.4	Q6GTS8
NP_857595.3	Q8N468
NP_660321.1	Q5JQS6
NP_598003.2	Q8NEW0
NP_001309184.1	A6PVL3
NP_958805.1	Q70IA8
NP_689705.2	Q2M243
NP_001010857.1	Q5T871
NP_001354413.1	A0A0D9SEX9
NP_742068.1	Q5TC82
NP_689707.2	Q5T197
NP_689706.2	Q5T0B9
NP_689708.1	Q8TBE1
NP_001092904.1	A2VCK2
NP_001106954.1	Q5VSG8
NP_653302.2	Q5VWK5
NP_001017961.1	Q5VT40
NP_001129579.1	Q5VVY1
NP_937792.2	Q96DD7
NP_787072.2	Q8IYI6
NP_690048.1	Q8N165
NP_683763.2	Q8N6F1
NP_612122.2	Q7Z465
NP_689712.1	Q8N4L8
NP_872323.1	Q8IVY1
NP_001130009.1	C9JJ37
NP_001365118.1	Q96MR6
NP_849162.1	Q8NEQ6
NP_001108410.2	Q96LX7
NP_653303.2	Q8N4P6
NP_001010858.2	Q5TA31
NP_001019772.1	Q537H7
NP_689714.2	Q6K0P9
NP_705834.2	Q8IYT1
NP_001380745.1	A0A158RFT8
NP_789761.1	Q9H1H1
NP_689717.2	Q8IYI0
NP_444269.2	Q86VX2
NP_653304.2	Q9BX40
NP_872325.2	P59827
NP_001289927.1	Q6XZB0
NP_689718.1	O95447
NP_001073913.1	Q9NSI5
NP_631912.3	Q4ZJI4
NP_775490.2	P57059
NP_055221.1	Q96SF2
NP_001373884.1	Q5GH77
NP_001017964.1	A8MPS7
NP_872326.2	Q8WYQ4
NP_001122105.1	A6NJZ7
NP_741999.3	A0A384NYJ4
NP_001373743.1	Q96NN9
NP_689724.3	A0A024R1L2
NP_775781.1	A0A024R1C5
NP_001010859.1	Q6IC83
NP_689723.1	Q8N7B1
NP_689725.2	Q8IYW4
NP_660157.1	Q7Z6W7
NP_001002034.2	Q6ICB4
NP_997210.3	Q6NVV7
NP_612490.1	Q6NUI6
NP_666017.1	Q8NET5
NP_714923.1	Q8NG68
NP_620169.1	Q7Z6Z6
NP_742000.1	Q8IUF1
NP_653306.1	A0A384MEB7
NP_689728.3	Q8IYA6
NP_689726.3	Q5TIA1
NP_938015.1	Q8NB12
NP_683764.1	Q8NHW6
NP_001156896.1	Q8WXC6
NP_653307.2	A0A3F2YNW3
NP_689729.1	Q8N668
NP_001159450.1	Q8N271
NP_001364997.1	Q7Z5J8
